arquivo,periodo_num,periodo,slug,titulo,autor,data_obra,licenca,credito,largura,altura,original_wxh,arquivo_commons,pagina_commons,resolvido_via,descricao
02-grecia_cratera-de-eufronios.jpg,02,grecia,cratera-de-eufronios,Cratera de Eufrônios,Sailko,2017-07-12 10:16:27,CC BY 3.0,Own work,1812,1852,1812x1852,"Eufronio,_cratere_modellato_da_euxitheos_con_morte_di_sarpedone,_520-510_ac_ca.,_dalla_necropoli_di_greppe_sant'angelo_01.jpg","https://commons.wikimedia.org/wiki/File:Eufronio,_cratere_modellato_da_euxitheos_con_morte_di_sarpedone,_520-510_ac_ca.,_dalla_necropoli_di_greppe_sant%27angelo_01.jpg",wiki,Euphronios krater in the National Archaeological Museum of Cerveteri
02-grecia_dama-de-auxerre.jpg,02,grecia,dama-de-auxerre,Dama de Auxerre,Unknown artist Unknown artist,2023-03-06 21:41:43,CC BY 2.5,This file was derived from: Lady of Auxerre Louvre Ma3098 n2.jpg,1150,1950,1150x1950,Dame_d'Auxerre_2.jpg,https://commons.wikimedia.org/wiki/File:Dame_d%27Auxerre_2.jpg,wiki,"So-called Lady of Auxerre, a female statuette in the Daedalic style. Limestone with incised decoration, formerly painted, ca. 640–630 BC, made in Crete?"
02-grecia_discobolo.jpg,02,grecia,discobolo,Discóbolo de Míron,No machine-readable author provided. MatthiasKabel assumed (based on copyright claims).,28 January 2006 (according to Exif data),CC BY 2.5,No machine-readable source provided. Own work assumed (based on copyright claims).,2030,3274,2030x3274,"Roman_bronze_copy_of_Myron’s_Discobolos,_2nd_century_CE_(Glyptothek_Munich).jpg","https://commons.wikimedia.org/wiki/File:Roman_bronze_copy_of_Myron%E2%80%99s_Discobolos,_2nd_century_CE_(Glyptothek_Munich).jpg",wiki,"Roman bronze reduction of Myron's Discobolos, 2nd century CE."
02-grecia_doriforo.jpg,02,grecia,doriforo,Doríforo de Policleto,Paolo Villa,2024-10-02 16:15:12,CC BY 4.0,This image has been extracted from another file,2000,3313,6641x11000,02_10_2024_Photo_Paolo_Villa-Napoli-mann-Museo_Archeologico-FO232526tris-Arte_Greca_copia_romana-Policleto_Doriforo_Polykleitos_Doryphoros_from_Pompeii-marmo_marble_carrara.jpg,https://commons.wikimedia.org/wiki/File:02_10_2024_Photo_Paolo_Villa-Napoli-mann-Museo_Archeologico-FO232526tris-Arte_Greca_copia_romana-Policleto_Doriforo_Polykleitos_Doryphoros_from_Pompeii-marmo_marble_carrara.jpg,wiki,02 10 2024 Photo Paolo Villa-Napoli-mann-Museo Archeologico-FO232526tris-Arte Greca copia romana-Policleto Doriforo Polykleitos Doryphoros from Pompeii-marmo marble carrara
02-grecia_friso-do-partenon.jpg,02,grecia,friso-do-partenon,Friso do Partenon (Mármores de Elgin),Sanjay ach,2023-06-30 16:44:10,CC BY-SA 4.0,Own work,2000,1677,4906x4113,Two horsemen South Frieze Parthenon.jpg,https://commons.wikimedia.org/wiki/File:Two_horsemen_South_Frieze_Parthenon.jpg,search,"Two horsemen wear a cloak (chlamys) pinned on one shoulder. They ride without stirrups, which had not been invented, or saddles. Drill-holes indicate where bronze reins and bridles were once attached. The flickering manes are a distinctive feature of these and other horses in the frieze. Picture taken at the British Museum, London, UK."
02-grecia_galata-moribundo.jpg,02,grecia,galata-moribundo,Gálata Moribundo,antmoose,2005-06-04,CC BY 2.0,[1],1458,1186,1458x1186,Dying_gaul.jpg,https://commons.wikimedia.org/wiki/File:Dying_gaul.jpg,wiki,"The Dying Gaul, or The Capitoline Gaul, a Roman marble copy of a Hellenistic work of the late 3rd century BCE Capitoline Museums, Rome"
02-grecia_kore-com-peplo.jpg,02,grecia,kore-com-peplo,Kore com Peplo,Unknown artist Unknown artist,circa 530 BC,CC BY-SA 2.5,"Marsyas, 06.04.2007",995,2676,995x2676,ACMA 679 Kore 1.JPG,https://commons.wikimedia.org/wiki/File:ACMA_679_Kore_1.JPG,search,Statue of a maiden. She wears a peplos over the chiton. Often attributed to the same sculptor of the Rampin Horseman. Missing left forearm and lower right corner of skirt with forepart of feet.
02-grecia_kouros-de-anavysos.jpg,02,grecia,kouros-de-anavysos,Kouros de Anavysos (Kroisos),Jebulon,2015-05-20,CC0,Own work,2714,4591,2714x4591,Kouros NAMA 3851 Athens Greece.jpg,https://commons.wikimedia.org/wiki/File:Kouros_NAMA_3851_Athens_Greece.jpg,search,"Kroisos Kouros. Parian marble. Found in Anavyssos, Attica. This is a funerary statue, found on the grave of Kroisos, as is indicated by the epigram on the base: Stop, and mourn at the grave of the dead Kroisos, whom the raging Ares destroyed when he fought among the defenders . Ca 530 BCE. N°3851"
02-grecia_laocoonte.jpg,02,grecia,laocoonte,Laocoonte e seus filhos,Wilfredor,2024-02-10 07:07:43,CC0,Own work,2000,2173,8744x9502,Laocoön_and_his_sons_group.jpg,https://commons.wikimedia.org/wiki/File:Laoco%C3%B6n_and_his_sons_group.jpg,wiki,Laocoön and his sons group
02-grecia_mascara-de-agamenon.jpg,02,grecia,mascara-de-agamenon,Máscara de Agamêmnon (micênica),Gleb Simonov,2024-01-23,Public domain,Own work,3455,3268,3455x3268,Athens_—_Mask_of_Agamemnon.jpg,https://commons.wikimedia.org/wiki/File:Athens_%E2%80%94_Mask_of_Agamemnon.jpg,wiki,Athens — Mask of Agamemnon
02-grecia_menino-de-kritios.jpg,02,grecia,menino-de-kritios,Menino de Kritios,Marsyas,2007-04-06,CC BY-SA 2.5,Own work,900,2098,900x2098,ACMA 698 Kritios boy 1.JPG,https://commons.wikimedia.org/wiki/File:ACMA_698_Kritios_boy_1.JPG,search,
02-grecia_mosaico-de-alexandre.jpg,02,grecia,mosaico-de-alexandre,Mosaico de Alexandre (Batalha de Isso),Unknown author Unknown author,circa 100 BC,Public domain,"Self-photographed by Berthold Werner , Naples National Archaeological Museum , May 2013",3562,2133,3562x2133,Battle_of_Issus_mosaic_-_Museo_Archeologico_Nazionale_-_Naples_2013-05-16_16-25-06_BW.jpg,https://commons.wikimedia.org/wiki/File:Battle_of_Issus_mosaic_-_Museo_Archeologico_Nazionale_-_Naples_2013-05-16_16-25-06_BW.jpg,wiki,"Alexander Mosaic , House of the Faun , Pompeii"
02-grecia_partenon.jpg,02,grecia,partenon,Partenon (Acrópole de Atenas),Steve Swayne,1978-08-26 13:45:00,CC BY 2.0,"File:O Partenon de Atenas.jpg , originally posted to Flickr as The Parthenon Athens",1144,804,1144x804,The_Parthenon_in_Athens.jpg,https://commons.wikimedia.org/wiki/File:The_Parthenon_in_Athens.jpg,wiki,"Parthenon, Athens Greece. Photo taken in 1978."
02-grecia_vaso-francois.jpg,02,grecia,vaso-francois,Vaso François,Garcia091995,2017-12-14,CC BY-SA 4.0,Own work,924,899,924x899,"Kleitias e vasaio ergotimos, cratere françois, .jpg","https://commons.wikimedia.org/wiki/File:Kleitias_e_vasaio_ergotimos,_cratere_fran%C3%A7ois,_.jpg",search,Francois Vase
02-grecia_venus-de-milo.jpg,02,grecia,venus-de-milo,Vênus de Milo,Livioandronico2013,2016-10-24 16:56:33,CC BY-SA 4.0,Own work,3088,5808,3088x5808,Front_views_of_the_Venus_de_Milo.jpg,https://commons.wikimedia.org/wiki/File:Front_views_of_the_Venus_de_Milo.jpg,wiki,Front views of the Venus de Milo
